word,count
iyo,41820
ayaa,25784
soo,13929
mid,13675
waxay,12434
lagu,11924
ugu,11303
kale,10820
soomaaliya,10740
waxaa,10351
loo,10063
wuxuu,8384
dalka,8213
inay,6637
badan,6496
tahay,5861
weyn,5716
sheegay,5377
laga,5278
sida,5219
sidoo,5118
gaar,5024
soomaaliyeed,5007
kala,4954
dowladda,4933
aan,4666
leh,4580
yahay,4501
waa,4437
ahaan,4397
