label,precision,recall,f1-score,support
AI,1.0,0.993798449612403,0.9968895800933126,645.0
HUMAN,0.9936908517350158,1.0,0.9968354430379747,630.0
accuracy,0.9968627450980392,0.9968627450980392,0.9968627450980392,0.9968627450980392
macro avg,0.9968454258675079,0.9968992248062015,0.9968625115656436,1275.0
weighted avg,0.9968825385043608,0.9968627450980392,0.9968628300189104,1275.0
