fpr,tpr
0.0,0.0
0.0,0.00468384074941452
0.0,0.00702576112412178
0.0,0.01405152224824356
0.0,0.01522248243559719
0.0,0.01990632318501171
0.0,0.02576112412177986
0.0,0.053864168618266976
0.0,0.06440281030444965
0.00117096018735363,0.08313817330210772
0.00117096018735363,0.09133489461358314
0.00234192037470726,0.11007025761124122
0.00351288056206089,0.13348946135831383
0.00351288056206089,0.14402810304449648
0.00468384074941452,0.15807962529274006
0.00819672131147541,0.18384074941451992
0.00936768149882904,0.20960187353629978
0.01053864168618267,0.22716627634660422
0.01053864168618267,0.24355971896955503
0.01405152224824356,0.2728337236533958
0.01405152224824356,0.28805620608899296
0.01522248243559719,0.31030444964871196
0.01873536299765808,0.3231850117096019
0.02107728337236534,0.35714285714285715
0.02576112412177986,0.3711943793911007
0.026932084309133488,0.40046838407494145
0.02927400468384075,0.4262295081967213
0.03044496487119438,0.45550351288056207
0.03395784543325527,0.4765807962529274
0.03864168618266979,0.5058548009367682
0.04215456674473068,0.5245901639344263
0.04918032786885246,0.5515222482435597
0.05269320843091335,0.5702576112412178
0.05620608899297424,0.5866510538641686
0.05737704918032787,0.6007025761124122
0.06557377049180328,0.6264637002341921
0.07259953161592506,0.6487119437939111
0.08665105386416862,0.6744730679156908
0.09133489461358314,0.689695550351288
0.09484777517564402,0.7002341920374707
0.10421545667447307,0.7096018735362998
0.11007025761124122,0.7201405152224825
0.117096018735363,0.7330210772833724
0.12060889929742388,0.7447306791569087
0.12997658079625293,0.7587822014051522
0.1323185011709602,0.7704918032786885
0.13934426229508196,0.7786885245901639
0.1451990632318501,0.7939110070257611
0.15339578454332553,0.8114754098360656
0.16042154566744732,0.8290398126463701
0.16510538641686182,0.84192037470726
0.17096018735362997,0.8524590163934426
0.18149882903981265,0.8629976580796253
0.1873536299765808,0.8747072599531616
0.19437939110070257,0.8852459016393442
0.20023419203747073,0.8957845433255269
0.20374707259953162,0.9063231850117096
0.21311475409836064,0.9121779859484778
0.22014051522248243,0.9215456674473068
0.22716627634660422,0.9227166276346604
0.234192037470726,0.9285714285714286
0.24473067915690866,0.9332552693208431
0.24824355971896955,0.9379391100702577
0.2529274004683841,0.9426229508196722
0.25526932084309134,0.9531615925058547
0.26229508196721313,0.9590163934426229
0.2693208430913349,0.9613583138173302
0.275175644028103,0.9695550351288056
0.28454332552693207,0.9718969555035128
0.29156908665105385,0.9765807962529274
0.297423887587822,0.9789227166276346
0.30562060889929743,0.9812646370023419
0.31030444964871196,0.9824355971896955
0.3185011709601874,0.9859484777517564
0.32786885245901637,0.9871194379391101
0.33840749414519905,0.9882903981264637
0.3407494145199063,0.9882903981264637
0.35362997658079626,0.990632318501171
0.3594847775175644,0.990632318501171
0.3711943793911007,0.9918032786885246
0.3758782201405152,0.9918032786885246
0.382903981264637,0.9918032786885246
0.3957845433255269,0.9918032786885246
0.4028103044496487,0.9929742388758782
0.40866510538641687,0.9953161592505855
0.4168618266978923,0.9964871194379391
0.4309133489461358,0.9976580796252927
0.4449648711943794,0.9976580796252927
0.4566744730679157,0.9976580796252927
0.4672131147540984,0.9976580796252927
0.4812646370023419,1.0
0.4953161592505855,1.0
0.5105386416861827,1.0
0.5234192037470726,1.0
0.544496487119438,1.0
0.5679156908665105,1.0
0.5901639344262295,1.0
0.6112412177985949,1.0
0.6311475409836066,1.0
0.6557377049180327,1.0
0.6861826697892272,1.0
0.7177985948477752,1.0
0.747072599531616,1.0
0.7716627634660421,1.0
0.8009367681498829,1.0
0.8348946135831382,1.0
0.8653395784543325,1.0
0.8969555035128806,1.0
0.9320843091334895,1.0
0.9484777517564403,1.0
0.9625292740046838,1.0
0.9789227166276346,1.0
0.9882903981264637,1.0
0.9929742388758782,1.0
0.9988290398126464,1.0
1.0,1.0
