experiment,family,model,evaluation_train_rows,test_rows,final_train_rows,saved_model_train_scope,accuracy,precision,recall,f1,macro_f1
experiment_2_stopwords_removed,traditional_ml,LinearSVC_TFIDF,4990,879,5869,full_dataset,0.9328782707622298,0.9343463981718686,0.9328782707622298,0.9328565496725926,0.9328695823263748
experiment_2_stopwords_removed,traditional_ml,LogisticRegression_TFIDF,4990,879,5869,full_dataset,0.9294653014789532,0.9321383430601426,0.9294653014789532,0.9294063003197306,0.929432330242917
experiment_2_stopwords_removed,traditional_ml,XGBoost_TFIDF,4990,879,5869,full_dataset,0.9294653014789532,0.9335273696242,0.9294653014789532,0.9293616804079984,0.9293986879333396
experiment_2_stopwords_removed,deep_learning,BiLSTM_Keras,4990,879,4990,train_validation,0.9124004550625712,0.917740911635298,0.9124004550625712,0.9122112863271248,0.91226919512369
experiment_2_stopwords_removed,traditional_ml,RandomForest_TFIDF,4990,879,5869,full_dataset,0.9055745164960182,0.914277911366222,0.9055745164960182,0.9052038440992412,0.9052920994318072
experiment_2_stopwords_removed,deep_learning,BiLSTM_Word2Vec,4990,879,4990,train_validation,0.888509670079636,0.8887541006467068,0.888509670079636,0.8885168851987845,0.8885060625200617
experiment_2_stopwords_removed,transformers,MiniTransformer_Keras,4990,879,4990,train_validation,0.8862343572241184,0.905883018511005,0.8862343572241184,0.8850795931809045,0.8852600250626567
experiment_2_stopwords_removed,deep_learning,BiLSTM_FastText,4990,879,4990,train_validation,0.8748577929465301,0.8796025900929799,0.8748577929465301,0.8746008753881896,0.8746811621251711
experiment_2_stopwords_removed,transformers,AfriBERTa_FineTuned,4990,879,4990,train_validation,0.8703071672354948,0.8705232263553886,0.8703071672354948,0.8702527303595096,0.8701846842645276
experiment_2_stopwords_removed,transformers,SomBERTa_FineTuned,4990,879,4990,train_validation,0.8623435722411832,0.8682610650631127,0.8623435722411832,0.8616074502440912,0.8614137339290671
experiment_2_stopwords_removed,transformers,AfroXLMR_FineTuned,4990,879,4990,train_validation,0.8156996587030717,0.8164971805921297,0.8156996587030717,0.8156758046356828,0.8156936951862245
experiment_2_stopwords_removed,transformers,XLMRoberta_FineTuned,4990,879,4990,train_validation,0.7417519908987485,0.7689802518349136,0.7417519908987485,0.7360557621286833,0.7366794368115372
experiment_2_stopwords_removed,transformers,mBERT_FineTuned,4990,879,4990,train_validation,0.5949943117178612,0.6348388959421888,0.5949943117178612,0.5674239783475172,0.5692220435673223
