label,precision,recall,f1-score,support
AI,0.9670588235294117,0.9194630872483222,0.9426605504587156,447.0
HUMAN,0.920704845814978,0.9675925925925926,0.9435665914221218,432.0
accuracy,0.9431171786120591,0.9431171786120591,0.9431171786120591,0.9431171786120591
macro avg,0.9438818346721949,0.9435278399204574,0.9431135709404187,879.0
weighted avg,0.9442773464274375,0.9431171786120591,0.9431058402154749,879.0
