label,precision,recall,f1-score,support
AI,0.6964285714285714,0.785234899328859,0.7381703470031545,447.0
HUMAN,0.744,0.6458333333333334,0.6914498141263941,432.0
accuracy,0.7167235494880546,0.7167235494880546,0.7167235494880546,0.7167235494880546
macro avg,0.7202142857142857,0.7155341163310962,0.7148100805647744,879.0
weighted avg,0.7198083861530961,0.7167235494880546,0.715208719923791,879.0
