fpr,tpr
0.0,0.0
0.0,0.00117096018735363
0.0,0.03161592505854801
0.0,0.03395784543325527
0.0,0.08782201405152225
0.0,0.09016393442622951
0.0,0.1252927400468384
0.00117096018735363,0.1252927400468384
0.00117096018735363,0.16744730679156908
0.00234192037470726,0.16744730679156908
0.00234192037470726,0.23653395784543327
0.00234192037470726,0.2388758782201405
0.00234192037470726,0.28337236533957844
0.00351288056206089,0.28337236533957844
0.00351288056206089,0.30679156908665106
0.00468384074941452,0.30679156908665106
0.00468384074941452,0.3114754098360656
0.00585480093676815,0.3114754098360656
0.00585480093676815,0.38173302107728335
0.00702576112412178,0.38173302107728335
0.00702576112412178,0.3911007025761124
0.00819672131147541,0.3911007025761124
0.00819672131147541,0.39695550351288056
0.00936768149882904,0.39695550351288056
0.00936768149882904,0.4449648711943794
0.01053864168618267,0.4449648711943794
0.01053864168618267,0.45550351288056207
0.0117096018735363,0.45550351288056207
0.0117096018735363,0.45784543325526933
0.01288056206088993,0.45784543325526933
0.01288056206088993,0.49414519906323184
0.01288056206088993,0.4964871194379391
0.01288056206088993,0.5046838407494145
0.01405152224824356,0.5046838407494145
0.01405152224824356,0.5105386416861827
0.01522248243559719,0.5105386416861827
0.01522248243559719,0.5117096018735363
0.01639344262295082,0.5117096018735363
0.01639344262295082,0.5128805620608899
0.01756440281030445,0.5128805620608899
0.01756440281030445,0.5152224824355972
0.01873536299765808,0.5152224824355972
0.01873536299765808,0.5163934426229508
0.01990632318501171,0.5163934426229508
0.01990632318501171,0.5351288056206089
0.02107728337236534,0.5351288056206089
0.02107728337236534,0.5374707259953162
0.02224824355971897,0.5374707259953162
0.02224824355971897,0.5562060889929742
0.0234192037470726,0.5562060889929742
0.0234192037470726,0.5585480093676815
0.02459016393442623,0.5585480093676815
0.02459016393442623,0.563231850117096
0.026932084309133488,0.563231850117096
0.026932084309133488,0.5655737704918032
0.02810304449648712,0.5655737704918032
0.02810304449648712,0.5784543325526932
0.02927400468384075,0.5784543325526932
0.02927400468384075,0.5807962529274004
0.02927400468384075,0.5831381733021077
0.02927400468384075,0.594847775175644
0.03044496487119438,0.594847775175644
0.03044496487119438,0.6018735362997658
0.03044496487119438,0.6042154566744731
0.03044496487119438,0.6159250585480094
0.03161592505854801,0.6159250585480094
0.03161592505854801,0.6346604215456675
0.03278688524590164,0.6346604215456675
0.03278688524590164,0.6440281030444965
0.03395784543325527,0.6440281030444965
0.0351288056206089,0.6463700234192038
0.0351288056206089,0.6533957845433255
0.0351288056206089,0.6557377049180327
0.0351288056206089,0.6627634660421545
0.03629976580796253,0.6627634660421545
0.03629976580796253,0.6709601873536299
0.03747072599531616,0.6709601873536299
0.03747072599531616,0.6721311475409836
0.03864168618266979,0.6721311475409836
0.03864168618266979,0.6756440281030445
0.03864168618266979,0.6850117096018735
0.03981264637002342,0.6850117096018735
0.03981264637002342,0.6932084309133489
0.040983606557377046,0.6932084309133489
0.040983606557377046,0.6955503512880562
0.04215456674473068,0.6955503512880562
0.04215456674473068,0.7014051522248244
0.04332552693208431,0.7014051522248244
0.04332552693208431,0.702576112412178
0.04566744730679157,0.702576112412178
0.04566744730679157,0.7049180327868853
0.04566744730679157,0.7072599531615925
0.0468384074941452,0.7072599531615925
0.0468384074941452,0.7084309133489461
0.04800936768149883,0.7084309133489461
0.04800936768149883,0.7131147540983607
0.04918032786885246,0.7131147540983607
0.04918032786885246,0.7189695550351288
0.05035128805620609,0.7189695550351288
0.05035128805620609,0.7259953161592506
0.05152224824355972,0.7259953161592506
0.05152224824355972,0.7271662763466042
0.05269320843091335,0.7271662763466042
0.05269320843091335,0.7283372365339579
0.053864168618266976,0.7283372365339579
0.053864168618266976,0.7447306791569087
0.05620608899297424,0.7447306791569087
0.05620608899297424,0.7494145199063232
0.05737704918032787,0.7494145199063232
0.05737704918032787,0.7505854800936768
0.059718969555035126,0.7505854800936768
0.059718969555035126,0.7552693208430913
0.06206088992974239,0.7552693208430913
0.06206088992974239,0.7576112412177985
0.06323185011709602,0.7576112412177985
0.06323185011709602,0.7587822014051522
0.06440281030444965,0.7587822014051522
0.06674473067915691,0.7622950819672131
0.06674473067915691,0.7646370023419203
0.06791569086651054,0.7646370023419203
0.06791569086651054,0.765807962529274
0.0702576112412178,0.765807962529274
0.0702576112412178,0.7716627634660421
0.07259953161592506,0.7716627634660421
0.07259953161592506,0.7775175644028103
0.07377049180327869,0.7775175644028103
0.07377049180327869,0.7786885245901639
0.07611241217798595,0.7786885245901639
0.07611241217798595,0.7833723653395784
0.07728337236533958,0.7833723653395784
0.07728337236533958,0.7857142857142857
0.07845433255269321,0.7857142857142857
0.07845433255269321,0.7868852459016393
0.07962529274004684,0.7868852459016393
0.07962529274004684,0.7892271662763466
0.08196721311475409,0.7892271662763466
0.08196721311475409,0.7939110070257611
0.08313817330210772,0.7939110070257611
0.08313817330210772,0.7985948477751756
0.08430913348946135,0.7985948477751756
0.08430913348946135,0.8044496487119438
0.08548009367681499,0.8044496487119438
0.08548009367681499,0.8056206088992974
0.08665105386416862,0.8056206088992974
0.08665105386416862,0.8161592505854801
0.08782201405152225,0.8161592505854801
0.08782201405152225,0.8220140515222483
0.08899297423887588,0.8220140515222483
0.08899297423887588,0.8266978922716628
0.08899297423887588,0.8278688524590164
0.09016393442622951,0.8278688524590164
0.09016393442622951,0.8290398126463701
0.09133489461358314,0.8290398126463701
0.09133489461358314,0.832552693208431
0.09250585480093677,0.832552693208431
0.09250585480093677,0.8348946135831382
0.0936768149882904,0.8348946135831382
0.0936768149882904,0.8372365339578455
0.09484777517564402,0.8372365339578455
0.09484777517564402,0.84192037470726
0.09601873536299765,0.84192037470726
0.09601873536299765,0.8466042154566745
0.09953161592505855,0.8466042154566745
0.09953161592505855,0.8559718969555035
0.10655737704918032,0.8559718969555035
0.10655737704918032,0.8583138173302107
0.10772833723653395,0.8583138173302107
0.10772833723653395,0.860655737704918
0.11007025761124122,0.860655737704918
0.11007025761124122,0.8665105386416861
0.11124121779859485,0.8665105386416861
0.11124121779859485,0.870023419203747
0.11241217798594848,0.870023419203747
0.11241217798594848,0.8735362997658079
0.11358313817330211,0.8735362997658079
0.11358313817330211,0.8782201405152225
0.11475409836065574,0.8782201405152225
0.11475409836065574,0.8805620608899297
0.11592505854800937,0.8805620608899297
0.11592505854800937,0.8817330210772834
0.117096018735363,0.8817330210772834
0.117096018735363,0.882903981264637
0.11943793911007025,0.882903981264637
0.11943793911007025,0.8840749414519906
0.12177985948477751,0.8840749414519906
0.12177985948477751,0.8864168618266979
0.12295081967213115,0.8864168618266979
0.12295081967213115,0.8875878220140515
0.12412177985948478,0.8875878220140515
0.12412177985948478,0.8887587822014051
0.1252927400468384,0.8887587822014051
0.1252927400468384,0.8899297423887588
0.12997658079625293,0.8899297423887588
0.12997658079625293,0.892271662763466
0.13114754098360656,0.892271662763466
0.13114754098360656,0.8934426229508197
0.1323185011709602,0.8934426229508197
0.1323185011709602,0.8946135831381733
0.13817330210772832,0.8946135831381733
0.13817330210772832,0.8957845433255269
0.13934426229508196,0.8957845433255269
0.14168618266978922,0.8969555035128806
0.14285714285714285,0.8969555035128806
0.14285714285714285,0.8981264637002342
0.14402810304449648,0.8981264637002342
0.14402810304449648,0.9016393442622951
0.148711943793911,0.9016393442622951
0.148711943793911,0.9028103044496487
0.14988290398126464,0.9028103044496487
0.14988290398126464,0.905152224824356
0.15339578454332553,0.905152224824356
0.15339578454332553,0.9063231850117096
0.15456674473067916,0.9063231850117096
0.15456674473067916,0.9074941451990632
0.1557377049180328,0.9074941451990632
0.1557377049180328,0.9110070257611241
0.15807962529274006,0.9110070257611241
0.15807962529274006,0.9121779859484778
0.16393442622950818,0.9121779859484778
0.16393442622950818,0.914519906323185
0.16627634660421545,0.914519906323185
0.16627634660421545,0.9156908665105387
0.16978922716627634,0.9156908665105387
0.16978922716627634,0.9180327868852459
0.17798594847775176,0.9180327868852459
0.17798594847775176,0.9192037470725996
0.18149882903981265,0.9192037470725996
0.18149882903981265,0.9203747072599532
0.18501170960187355,0.9203747072599532
0.18501170960187355,0.9227166276346604
0.18618266978922718,0.9227166276346604
0.18618266978922718,0.9262295081967213
0.19789227166276346,0.9262295081967213
0.19789227166276346,0.927400468384075
0.202576112412178,0.927400468384075
0.202576112412178,0.9285714285714286
0.20374707259953162,0.9285714285714286
0.20374707259953162,0.9320843091334895
0.20491803278688525,0.9320843091334895
0.20491803278688525,0.9332552693208431
0.20608899297423888,0.9332552693208431
0.20608899297423888,0.9344262295081968
0.20843091334894615,0.9344262295081968
0.20843091334894615,0.9355971896955504
0.20960187353629978,0.9355971896955504
0.20960187353629978,0.9391100702576113
0.2107728337236534,0.9391100702576113
0.2107728337236534,0.9402810304449649
0.21311475409836064,0.9402810304449649
0.21311475409836064,0.9426229508196722
0.21662763466042154,0.9426229508196722
0.21662763466042154,0.9437939110070258
