label,precision,recall,f1-score,support
AI,0.9295580110497238,0.788056206088993,0.85297845373891,854.0
HUMAN,0.8160569105691057,0.9402810304449649,0.8737758433079434,854.0
accuracy,0.8641686182669789,0.8641686182669789,0.8641686182669789,0.8641686182669789
macro avg,0.8728074608094147,0.864168618266979,0.8633771485234267,1708.0
weighted avg,0.8728074608094147,0.8641686182669789,0.8633771485234267,1708.0
