experiment,family,model,evaluation_train_rows,test_rows,final_train_rows,saved_model_train_scope,accuracy,precision,recall,f1,macro_f1,roc_auc
experiment_1_stopwords_included,traditional_ml,LogisticRegression_TFIDF,9782,1727,11509,full_dataset,0.9490445859872612,0.9496824809230316,0.9490445859872612,0.9490374783771036,0.9490416985206348,0.9891488340026452
experiment_1_stopwords_included,traditional_ml,LinearSVC_TFIDF,9782,1727,11509,full_dataset,0.946728430804864,0.946754072154282,0.946728430804864,0.9467298240579914,0.9467254120897544,0.9896974281797672
experiment_1_stopwords_included,traditional_ml,XGBoost_TFIDF,9782,1727,11509,full_dataset,0.9322524609148812,0.9326985600550995,0.9322524609148812,0.932247554413567,0.932251007136714,0.9834442593442088
experiment_1_stopwords_included,transformers,MiniTransformer_Keras,9782,1727,9782,train_validation,0.920092646207296,0.920092646207296,0.920092646207296,0.920092646207296,0.9200829731926572,0.9815838678437969
experiment_1_stopwords_included,deep_learning,BiLSTM_Keras,9782,1727,9782,train_validation,0.9160393746381008,0.9177909280190318,0.9160393746381008,0.9159836117915816,0.9160028753203792,0.9730182873667748
experiment_1_stopwords_included,traditional_ml,RandomForest_TFIDF,9782,1727,11509,full_dataset,0.8934568616097278,0.899841428204111,0.8934568616097278,0.8931125834237593,0.8931731508824019,0.9697139798965049
experiment_1_stopwords_included,deep_learning,BiLSTM_Word2Vec,9782,1727,9782,train_validation,0.8679791546033584,0.8756601890395898,0.8679791546033584,0.8674209383851379,0.8675078736978115,0.9420663088062108
experiment_1_stopwords_included,transformers,AfriBERTa_FineTuned,9782,1727,9782,train_validation,0.861609727851766,0.8650044249463434,0.861609727851766,0.8611980561978108,0.861106035475162,0.943319088663013
experiment_1_stopwords_included,transformers,SomBERTa_FineTuned,9782,1727,9782,train_validation,0.8604516502605675,0.8606667896265553,0.8604516502605675,0.8604064257273191,0.8603690663302876,0.944362624774996
experiment_1_stopwords_included,deep_learning,BiLSTM_FastText,9782,1727,9782,train_validation,0.8569774174869716,0.8573223081609744,0.8569774174869716,0.8569702243812789,0.8569756911416053,0.9195645584018071
experiment_1_stopwords_included,transformers,AfroXLMR_FineTuned,9782,1727,9782,train_validation,0.7602779386218876,0.784255522404828,0.7602779386218876,0.7545617050661514,0.7541341127922971,0.8980862245185383
experiment_1_stopwords_included,transformers,mBERT_FineTuned,9782,1727,9782,train_validation,0.7284308048639259,0.7287889758183822,0.7284308048639259,0.7284043985130657,0.7284216992256982,0.8131372880401104
experiment_1_stopwords_included,transformers,XLMRoberta_FineTuned,9782,1727,9782,train_validation,0.7336421540243196,0.7598170821671087,0.7336421540243196,0.7260437882904588,0.7255244755244755,0.8717537040166752
