label,precision,recall,f1-score,support
AI,0.8705882352941177,0.5199063231850117,0.6510263929618768,854.0
HUMAN,0.657762938230384,0.9227166276346604,0.7680311890838206,854.0
accuracy,0.7213114754098361,0.7213114754098361,0.7213114754098361,0.7213114754098361
macro avg,0.7641755867622508,0.7213114754098361,0.7095287910228487,1708.0
weighted avg,0.7641755867622507,0.7213114754098361,0.7095287910228488,1708.0
