label,precision,recall,f1-score,support
AI,0.7867494824016563,0.8501118568232662,0.8172043010752689,447.0
HUMAN,0.8308080808080808,0.7615740740740741,0.7946859903381642,432.0
accuracy,0.8065984072810012,0.8065984072810012,0.8065984072810012,0.8065984072810012
macro avg,0.8087787816048686,0.8058429654486701,0.8059451457067166,879.0
weighted avg,0.8084028549973051,0.8065984072810012,0.8061372814638591,879.0
