experiment,model,minority_class,precision,recall,f1,support
experiment_1_stopwords_included,LinearSVC_TFIDF,HUMAN,0.935632183908046,0.9531615925058547,0.9443155452436196,854
experiment_2_stopwords_removed,LinearSVC_TFIDF,HUMAN,0.9217491369390104,0.9379391100702577,0.9297736506094022,854
experiment_1_stopwords_included,LogisticRegression_TFIDF,HUMAN,0.8965141612200436,0.9637002341920374,0.9288939051918736,854
experiment_2_stopwords_removed,LogisticRegression_TFIDF,HUMAN,0.8887677208287895,0.9543325526932084,0.9203839638622248,854
experiment_1_stopwords_included,MiniTransformer_Keras,HUMAN,0.9192037470725996,0.9192037470725996,0.9192037470725996,854
experiment_1_stopwords_included,BiLSTM_Keras,HUMAN,0.88998899889989,0.9473067915690868,0.9177538287010776,854
experiment_2_stopwords_removed,MiniTransformer_Keras,HUMAN,0.9102564102564102,0.914519906323185,0.9123831775700936,854
experiment_2_stopwords_removed,BiLSTM_Keras,HUMAN,0.930778739184178,0.8817330210772834,0.9055923030667468,854
experiment_1_stopwords_included,RandomForest_TFIDF,HUMAN,0.8516597510373444,0.9613583138173302,0.9031903190319032,854
experiment_2_stopwords_removed,RandomForest_TFIDF,HUMAN,0.8515789473684211,0.9473067915690868,0.8968957871396895,854
experiment_1_stopwords_included,XGBoost_TFIDF,HUMAN,0.8326488706365504,0.949648711943794,0.887308533916849,854
experiment_2_stopwords_removed,XGBoost_TFIDF,HUMAN,0.817907444668008,0.9519906323185012,0.8798701298701299,854
experiment_1_stopwords_included,BiLSTM_Word2Vec,HUMAN,0.8206967213114754,0.9379391100702577,0.8754098360655738,854
experiment_2_stopwords_removed,BiLSTM_FastText,HUMAN,0.8548931383577053,0.8899297423887588,0.8720596672403901,854
experiment_2_stopwords_removed,BiLSTM_Word2Vec,HUMAN,0.8510158013544018,0.882903981264637,0.8666666666666667,854
experiment_1_stopwords_included,BiLSTM_FastText,HUMAN,0.8452787258248009,0.870023419203747,0.8574725908828621,854
